"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2025","682.35","700.75","701.82","678.67","22.54M","-1.93%"
"06/18/2025","695.77","698.18","701.59","694.90","10.07M","-0.21%"
"06/17/2025","697.23","702.00","705.97","696.06","10.07M","-0.70%"
"06/16/2025","702.12","699.33","707.15","693.51","13.72M","2.82%"
"06/13/2025","682.87","687.95","694.57","681.01","9.27M","-1.51%"
"06/12/2025","693.36","693.30","695.38","687.00","7.32M","-0.11%"
"06/11/2025","694.14","703.71","708.87","691.99","9.58M","-1.18%"
"06/10/2025","702.40","701.34","703.23","691.56","10.85M","1.20%"
"06/09/2025","694.06","698.46","705.19","693.94","12.77M","-0.52%"
"06/06/2025","697.71","696.17","702.81","691.87","11.73M","1.91%"
"06/05/2025","684.62","691.66","694.38","682.25","13.12M","-0.48%"
"06/04/2025","687.95","669.32","689.00","668.57","14.03M","3.16%"
"06/03/2025","666.85","671.45","675.58","665.03","11.59M","-0.60%"
"06/02/2025","670.90","644.39","673.26","644.26","15.77M","3.62%"
"05/30/2025","647.49","642.50","649.41","632.78","16.24M","0.38%"
"05/29/2025","645.05","651.65","653.32","639.50","8.88M","0.23%"
"05/28/2025","643.58","642.60","650.88","642.55","9.04M","0.20%"
"05/27/2025","642.32","635.41","643.08","632.75","9.51M","2.43%"
"05/23/2025","627.06","624.00","632.45","622.65","8.45M","-1.49%"
"05/22/2025","636.57","634.05","643.25","630.71","8.23M","0.17%"
"05/21/2025","635.50","631.79","646.61","630.17","11.46M","-0.25%"
"05/20/2025","637.10","636.01","639.35","632.26","6.74M","-0.52%"
"05/19/2025","640.43","628.25","643.00","627.80","9.59M","0.01%"
"05/16/2025","640.34","637.96","640.44","626.15","18.52M","-0.55%"
"05/15/2025","643.88","654.28","657.31","638.58","14.34M","-2.35%"
"05/14/2025","659.36","661.21","662.67","654.31","12.35M","0.51%"
"05/13/2025","656.03","645.54","660.92","642.83","18.57M","2.60%"
"05/12/2025","639.43","630.92","640.39","621.03","21.97M","7.92%"
"05/09/2025","592.49","603.72","606.97","591.71","10.43M","-0.92%"
"05/08/2025","598.01","606.28","611.30","596.62","14.62M","0.20%"
"05/07/2025","596.81","590.36","603.08","586.67","13.16M","1.62%"
"05/06/2025","587.31","592.53","596.03","586.58","10.60M","-2.00%"
"05/05/2025","599.27","591.22","603.21","588.05","13.89M","0.38%"
"05/02/2025","597.02","583.46","604.34","578.33","24.74M","4.34%"
"05/01/2025","572.21","592.08","592.95","570.50","31.16M","4.23%"
"04/30/2025","549.00","538.40","549.10","529.50","29.24M","-0.98%"
"04/29/2025","554.44","546.00","556.57","544.12","11.84M","0.85%"
"04/28/2025","549.74","555.64","558.49","540.59","15.18M","0.45%"
"04/25/2025","547.27","546.80","549.86","536.25","17.10M","2.65%"
"04/24/2025","533.15","518.73","533.90","517.50","13.91M","2.48%"
"04/23/2025","520.27","528.53","535.34","516.52","18.17M","4.00%"
"04/22/2025","500.28","491.87","506.88","486.36","17.40M","3.22%"
"04/21/2025","484.66","491.33","493.50","479.80","16.17M","-3.35%"
